Ntrow_Ntcol;Dimension;Performance
8_1;350;4.95
2_4;350;5.39
4_2;350;6.19
1_8;355;6.20
8_1;355;5.38
2_4;355;5.83
4_2;355;6.59
1_8;360;5.64
8_1;360;5.45
2_4;360;5.87
4_2;360;5.32
1_8;365;5.46
8_1;365;6.43
2_4;365;4.90
4_2;365;5.96
1_8;370;5.27
8_1;370;5.93
2_4;370;5.07
4_2;370;5.22
1_8;375;5.43
8_1;375;6.11
2_4;375;5.37
4_2;375;4.87
1_8;380;4.53
8_1;380;6.17
2_4;380;6.07
4_2;380;6.00
1_8;385;6.54
8_1;385;5.91
2_4;385;5.91
4_2;385;6.61
1_8;390;6.17
8_1;390;6.06
2_4;390;5.12
4_2;390;6.82
1_8;395;6.36
8_1;395;7.67
2_4;395;5.92
4_2;395;6.56
1_8;400;5.94
8_1;400;6.92
2_4;400;6.12
4_2;400;6.20
1_8;405;6.22
8_1;405;6.31
2_4;405;6.21
4_2;405;6.07
1_8;410;6.69
8_1;410;8.51
2_4;410;6.30
4_2;410;6.78
1_8;415;5.21
8_1;415;6.74
2_4;415;6.54
4_2;415;6.48
1_8;420;6.50
8_1;420;7.80
2_4;420;6.69
4_2;420;7.12
1_8;425;6.20
8_1;425;7.27
2_4;425;6.68
4_2;425;7.42
1_8;430;6.84
8_1;430;6.73
2_4;430;6.85
4_2;430;7.28
1_8;435;7.25
8_1;435;6.54
2_4;435;6.58
4_2;435;7.92
1_8;440;6.93
8_1;440;7.14
2_4;440;7.20
4_2;440;6.74
1_8;445;6.90
8_1;445;8.10
2_4;445;7.36
4_2;445;7.07
1_8;450;6.70
8_1;450;7.47
2_4;450;6.81
4_2;450;8.03
1_8;455;7.10
8_1;455;7.19
2_4;455;7.78
4_2;455;8.03
1_8;460;6.46
8_1;460;8.82
2_4;460;6.94
4_2;460;7.36
1_8;465;6.98
8_1;465;7.19
2_4;465;7.59
4_2;465;7.22
1_8;470;7.62
8_1;470;7.55
2_4;470;8.27
4_2;470;7.55
1_8;475;7.00
8_1;475;8.12
2_4;475;7.62
4_2;475;7.29
1_8;480;6.74
8_1;480;8.19
2_4;480;7.35
4_2;480;7.29
1_8;485;7.47
8_1;485;8.11
2_4;485;8.05
4_2;485;8.03
1_8;490;8.45
8_1;490;8.35
2_4;490;8.21
4_2;490;7.94
1_8;495;8.50
8_1;495;9.32
2_4;495;7.52
4_2;495;8.67
1_8;500;8.56
8_1;500;9.44
2_4;500;8.56
4_2;500;8.85
