Ntrow_Ntcol;Dimension;Performance
4_1;310;3.79
2_2;310;3.76
1_4;315;3.33
4_1;315;3.67
2_2;315;3.50
1_4;320;3.48
4_1;320;3.71
2_2;320;3.70
1_4;325;3.54
4_1;325;3.92
2_2;325;3.66
1_4;330;3.61
4_1;330;3.80
2_2;330;3.87
1_4;335;3.08
4_1;335;3.91
2_2;335;3.82
1_4;340;3.58
4_1;340;3.67
2_2;340;3.77
1_4;345;4.23
4_1;345;4.28
2_2;345;3.78
1_4;350;3.90
4_1;350;3.99
2_2;350;4.18
1_4;355;3.65
4_1;355;4.03
2_2;355;3.89
1_4;360;3.84
4_1;360;4.05
2_2;360;3.94
1_4;365;3.66
4_1;365;4.47
2_2;365;3.78
1_4;370;3.61
4_1;370;3.96
2_2;370;4.13
1_4;375;3.74
4_1;375;4.21
2_2;375;4.38
1_4;380;3.79
4_1;380;4.68
2_2;380;4.44
1_4;385;3.96
4_1;385;4.54
2_2;385;4.06
1_4;390;3.88
4_1;390;4.81
2_2;390;4.15
1_4;395;3.80
4_1;395;4.28
2_2;395;3.78
1_4;400;4.33
4_1;400;4.79
2_2;400;4.49
1_4;405;3.91
4_1;405;4.70
2_2;405;4.57
1_4;410;4.05
4_1;410;4.95
2_2;410;4.29
1_4;415;4.48
4_1;415;4.36
2_2;415;4.19
1_4;420;4.09
4_1;420;4.77
2_2;420;4.65
1_4;425;3.87
4_1;425;4.55
2_2;425;4.81
1_4;430;4.55
4_1;430;4.43
2_2;430;4.36
1_4;435;4.21
4_1;435;4.82
2_2;435;4.77
1_4;440;4.51
4_1;440;4.72
2_2;440;4.21
1_4;445;4.33
4_1;445;4.61
2_2;445;4.33
1_4;450;4.12
4_1;450;4.92
2_2;450;4.85
1_4;455;4.50
4_1;455;4.62
2_2;455;4.62
1_4;460;4.31
4_1;460;4.87
2_2;460;4.82
1_4;465;4.66
4_1;465;4.95
2_2;465;4.81
1_4;470;4.46
4_1;470;4.64
2_2;470;4.67
1_4;475;4.71
4_1;475;5.01
2_2;475;4.93
1_4;480;4.60
4_1;480;5.02
2_2;480;4.81
1_4;485;4.68
4_1;485;4.74
2_2;485;4.96
1_4;490;4.39
4_1;490;4.95
2_2;490;3.78
1_4;495;4.08
4_1;495;4.55
2_2;495;3.58
1_4;500;4.49
4_1;500;5.09
2_2;500;4.03
