Ntrow_Ntcol;Dimension;Performance
1_4;5;0.00
4_1;5;0.00
2_2;5;0.00
1_4;10;0.03
4_1;10;0.03
2_2;10;0.03
1_4;15;0.11
4_1;15;0.11
2_2;15;0.10
1_4;20;0.23
4_1;20;0.23
2_2;20;0.23
1_4;25;0.37
4_1;25;0.37
2_2;25;0.38
1_4;30;0.52
4_1;30;0.56
2_2;30;0.55
1_4;35;0.66
4_1;35;0.70
2_2;35;0.64
1_4;40;0.73
4_1;40;0.84
2_2;40;0.81
1_4;45;0.84
4_1;45;0.93
2_2;45;0.75
1_4;50;0.93
4_1;50;1.01
2_2;50;1.00
1_4;55;1.00
4_1;55;1.22
2_2;55;0.91
1_4;60;1.21
4_1;60;0.97
2_2;60;0.96
1_4;65;1.15
4_1;65;0.94
2_2;65;0.98
1_4;70;1.32
4_1;70;1.07
2_2;70;0.98
1_4;75;0.94
4_1;75;0.96
2_2;75;1.00
1_4;80;1.16
4_1;80;1.71
2_2;80;1.29
1_4;85;1.71
4_1;85;1.29
2_2;85;1.45
1_4;90;1.84
4_1;90;2.29
2_2;90;1.93
1_4;95;1.46
4_1;95;1.23
2_2;95;1.40
1_4;100;1.32
4_1;100;1.57
2_2;100;1.39
1_4;105;1.33
4_1;105;1.62
2_2;105;1.40
1_4;110;1.34
4_1;110;1.40
2_2;110;1.41
1_4;115;1.47
4_1;115;1.73
2_2;115;2.08
1_4;120;1.44
4_1;120;1.97
2_2;120;1.90
1_4;125;1.89
4_1;125;1.43
2_2;125;2.10
1_4;130;1.19
4_1;130;1.33
2_2;130;1.33
1_4;135;1.57
4_1;135;1.81
2_2;135;1.67
1_4;140;1.78
4_1;140;1.69
2_2;140;1.85
1_4;145;1.39
4_1;145;3.85
2_2;145;2.21
1_4;150;1.48
4_1;150;2.15
2_2;150;2.65
1_4;155;1.39
4_1;155;1.70
2_2;155;1.78
1_4;160;1.70
4_1;160;1.79
2_2;160;2.03
1_4;165;1.92
4_1;165;1.72
2_2;165;1.92
1_4;170;2.15
4_1;170;2.15
2_2;170;1.53
1_4;175;1.58
4_1;175;1.51
2_2;175;1.64
1_4;180;2.35
4_1;180;2.12
2_2;180;2.09
1_4;185;2.14
4_1;185;2.35
2_2;185;2.19
1_4;190;2.31
4_1;190;2.52
2_2;190;2.38
1_4;195;2.46
4_1;195;2.01
2_2;195;2.00
1_4;200;2.09
4_1;200;2.35
2_2;200;2.65
1_4;205;2.21
4_1;205;2.23
2_2;205;2.24
1_4;210;2.53
4_1;210;3.47
2_2;210;2.73
1_4;215;2.98
4_1;215;2.66
2_2;215;2.92
1_4;220;2.69
4_1;220;2.60
2_2;220;2.69
1_4;225;2.88
4_1;225;3.63
2_2;225;2.91
1_4;230;3.08
4_1;230;2.94
2_2;230;2.83
1_4;235;2.61
4_1;235;3.14
2_2;235;2.96
1_4;240;3.13
4_1;240;2.71
2_2;240;3.11
1_4;245;3.03
4_1;245;3.19
2_2;245;2.50
1_4;250;3.08
4_1;250;3.16
2_2;250;3.18
1_4;255;3.39
4_1;255;3.22
2_2;255;2.84
1_4;260;3.04
4_1;260;3.35
2_2;260;3.03
1_4;265;3.17
4_1;265;3.30
2_2;265;3.41
1_4;270;3.10
4_1;270;3.54
2_2;270;3.31
1_4;275;3.28
4_1;275;3.13
2_2;275;3.50
1_4;280;3.25
4_1;280;3.32
2_2;280;3.44
1_4;285;3.38
4_1;285;3.54
2_2;285;3.59
1_4;290;3.28
4_1;290;3.49
2_2;290;3.12
1_4;295;3.43
4_1;295;3.50
2_2;295;3.67
1_4;300;3.44
4_1;300;3.37
2_2;300;3.63
1_4;305;3.40
4_1;305;3.83
2_2;305;3.56
1_4;310;3.34
