Ntrow_Ntcol;Dimension;Performance
1_8;5;0.00
8_1;5;0.00
2_4;5;0.00
4_2;5;0.00
1_8;10;0.01
8_1;10;0.01
2_4;10;0.01
4_2;10;0.01
1_8;15;0.05
8_1;15;0.05
2_4;15;0.05
4_2;15;0.04
1_8;20;0.10
8_1;20;0.11
2_4;20;0.10
4_2;20;0.11
1_8;25;0.18
8_1;25;0.19
2_4;25;0.19
4_2;25;0.19
1_8;30;0.28
8_1;30;0.31
2_4;30;0.30
4_2;30;0.31
1_8;35;0.40
8_1;35;0.44
2_4;35;0.43
4_2;35;0.43
1_8;40;0.51
8_1;40;0.54
2_4;40;0.50
4_2;40;0.54
1_8;45;0.56
8_1;45;0.68
2_4;45;0.63
4_2;45;0.67
1_8;50;0.62
8_1;50;0.79
2_4;50;0.73
4_2;50;0.77
1_8;55;0.99
8_1;55;0.64
2_4;55;0.66
4_2;55;0.71
1_8;60;0.71
8_1;60;0.78
2_4;60;0.75
4_2;60;0.77
1_8;65;1.10
8_1;65;0.82
2_4;65;0.80
4_2;65;0.84
1_8;70;0.82
8_1;70;0.84
2_4;70;0.82
4_2;70;0.89
1_8;75;0.83
8_1;75;0.89
2_4;75;0.88
4_2;75;1.17
1_8;80;0.78
8_1;80;0.91
2_4;80;1.17
4_2;80;1.29
1_8;85;1.46
8_1;85;0.89
2_4;85;0.91
4_2;85;1.02
1_8;90;1.34
8_1;90;1.63
2_4;90;2.14
4_2;90;1.15
1_8;95;1.37
8_1;95;1.20
2_4;95;1.49
4_2;95;1.47
1_8;100;1.37
8_1;100;1.33
2_4;100;0.96
4_2;100;1.36
1_8;105;1.66
8_1;105;1.56
2_4;105;1.36
4_2;105;1.35
1_8;110;1.77
8_1;110;1.35
2_4;110;0.98
4_2;110;1.04
1_8;115;1.60
8_1;115;1.57
2_4;115;2.38
4_2;115;1.59
1_8;120;1.69
8_1;120;1.55
2_4;120;1.82
4_2;120;1.80
1_8;125;1.68
8_1;125;1.63
2_4;125;2.13
4_2;125;1.15
1_8;130;1.28
8_1;130;1.51
2_4;130;1.33
4_2;130;1.23
1_8;135;1.73
8_1;135;2.17
2_4;135;1.59
4_2;135;2.41
1_8;140;1.57
8_1;140;1.57
2_4;140;1.17
4_2;140;1.61
1_8;145;3.43
8_1;145;2.14
2_4;145;1.73
4_2;145;1.80
1_8;150;1.51
8_1;150;1.35
2_4;150;1.93
4_2;150;1.80
1_8;155;1.69
8_1;155;1.72
2_4;155;1.74
4_2;155;1.92
1_8;160;2.00
8_1;160;2.49
2_4;160;2.32
4_2;160;1.91
1_8;165;1.90
8_1;165;2.11
2_4;165;2.05
4_2;165;1.99
1_8;170;2.47
8_1;170;1.98
2_4;170;2.17
4_2;170;2.10
1_8;175;1.94
8_1;175;2.31
2_4;175;2.06
4_2;175;2.29
1_8;180;3.21
8_1;180;2.11
2_4;180;2.21
4_2;180;2.15
1_8;185;1.90
8_1;185;2.05
2_4;185;2.34
4_2;185;2.27
1_8;190;2.10
8_1;190;2.24
2_4;190;1.75
4_2;190;2.05
1_8;195;1.92
