Ntrow_Ntcol;Dimension;Performance
8_1;195;2.40
2_4;195;2.11
4_2;195;2.77
1_8;200;2.33
8_1;200;2.33
2_4;200;2.87
4_2;200;3.21
1_8;205;2.57
8_1;205;3.33
2_4;205;2.34
4_2;205;2.77
1_8;210;2.34
8_1;210;2.58
2_4;210;3.28
4_2;210;4.07
1_8;215;3.34
8_1;215;3.37
2_4;215;2.84
4_2;215;2.67
1_8;220;2.59
8_1;220;2.46
2_4;220;2.65
4_2;220;3.73
1_8;225;2.66
8_1;225;2.72
2_4;225;2.68
4_2;225;2.40
1_8;230;2.81
8_1;230;3.24
2_4;230;2.81
4_2;230;3.03
1_8;235;2.71
8_1;235;3.13
2_4;235;3.01
4_2;235;3.33
1_8;240;4.81
8_1;240;3.06
2_4;240;3.38
4_2;240;2.59
1_8;245;3.06
8_1;245;3.47
2_4;245;3.83
4_2;245;2.97
1_8;250;3.37
8_1;250;4.34
2_4;250;3.63
4_2;250;3.05
1_8;255;3.28
8_1;255;3.66
2_4;255;3.19
4_2;255;3.16
1_8;260;3.20
8_1;260;3.55
2_4;260;3.23
4_2;260;3.83
1_8;265;4.74
8_1;265;3.76
2_4;265;4.20
4_2;265;4.01
1_8;270;3.12
8_1;270;3.81
2_4;270;4.50
4_2;270;3.56
1_8;275;3.18
8_1;275;4.07
2_4;275;3.28
4_2;275;3.82
1_8;280;4.34
8_1;280;4.23
2_4;280;3.64
4_2;280;3.34
1_8;285;4.14
8_1;285;4.85
2_4;285;5.11
4_2;285;3.87
1_8;290;3.78
8_1;290;3.64
2_4;290;4.70
4_2;290;5.43
1_8;295;4.31
8_1;295;3.76
2_4;295;4.01
4_2;295;3.94
1_8;300;4.37
8_1;300;4.37
2_4;300;4.90
4_2;300;4.96
1_8;305;4.74
8_1;305;4.51
2_4;305;3.73
4_2;305;5.74
1_8;310;5.45
8_1;310;4.49
2_4;310;5.26
4_2;310;4.43
1_8;315;3.37
8_1;315;4.92
2_4;315;5.22
4_2;315;4.64
1_8;320;4.54
8_1;320;3.84
2_4;320;4.63
4_2;320;4.18
1_8;325;5.23
8_1;325;4.54
2_4;325;5.12
4_2;325;4.66
1_8;330;4.93
8_1;330;5.41
2_4;330;4.90
4_2;330;6.11
1_8;335;5.26
8_1;335;4.96
2_4;335;6.01
4_2;335;6.37
1_8;340;5.35
8_1;340;5.48
2_4;340;5.82
4_2;340;6.20
1_8;345;4.98
8_1;345;4.84
2_4;345;5.84
4_2;345;5.65
1_8;350;5.91
8_1;350;5.54
2_4;350;5.18
4_2;350;5.26
1_8;355;5.73
8_1;355;5.31
2_4;355;5.92
4_2;355;5.44
1_8;360;5.72
8_1;360;5.87
2_4;360;4.91
4_2;360;5.35
1_8;365;4.83
8_1;365;5.29
2_4;365;5.51
4_2;365;4.91
1_8;370;5.25
8_1;370;6.00
2_4;370;5.91
4_2;370;6.15
1_8;375;6.55
8_1;375;7.09
2_4;375;5.54
4_2;375;6.52
1_8;380;5.99
8_1;380;5.87
2_4;380;5.73
4_2;380;5.68
1_8;385;5.88
8_1;385;6.55
2_4;385;5.13
4_2;385;5.87
1_8;390;5.51
8_1;390;6.40
2_4;390;5.68
4_2;390;5.98
1_8;395;6.65
8_1;395;6.42
2_4;395;6.12
4_2;395;7.10
1_8;400;6.52
8_1;400;6.97
2_4;400;7.05
4_2;400;7.11
1_8;405;5.93
8_1;405;7.10
2_4;405;6.27
4_2;405;6.75
1_8;410;6.94
8_1;410;7.53
2_4;410;6.48
4_2;410;6.01
1_8;415;6.56
8_1;415;7.46
2_4;415;7.09
4_2;415;6.83
1_8;420;6.56
8_1;420;6.15
2_4;420;6.57
4_2;420;6.90
1_8;425;7.63
8_1;425;8.25
2_4;425;7.12
4_2;425;7.72
1_8;430;7.05
8_1;430;7.42
2_4;430;6.70
4_2;430;6.84
1_8;435;8.05
8_1;435;8.75
2_4;435;7.11
4_2;435;6.85
1_8;440;6.78
8_1;440;8.28
2_4;440;7.72
4_2;440;7.60
1_8;445;7.14
8_1;445;6.61
2_4;445;7.22
4_2;445;7.38
1_8;450;6.58
8_1;450;7.59
2_4;450;6.73
4_2;450;7.19
1_8;455;7.76
8_1;455;8.17
2_4;455;6.12
4_2;455;7.58
1_8;460;6.96
8_1;460;8.19
2_4;460;7.94
4_2;460;7.42
1_8;465;7.03
8_1;465;8.29
2_4;465;7.40
4_2;465;8.76
1_8;470;7.63
8_1;470;6.59
2_4;470;7.15
4_2;470;7.23
1_8;475;6.89
8_1;475;8.02
2_4;475;7.72
4_2;475;8.18
1_8;480;7.72
8_1;480;8.10
2_4;480;7.32
4_2;480;7.72
1_8;485;7.69
8_1;485;8.16
2_4;485;8.61
4_2;485;8.59
1_8;490;7.72
8_1;490;8.35
2_4;490;8.68
4_2;490;7.24
1_8;495;7.60
8_1;495;7.60
2_4;495;7.87
4_2;495;8.74
1_8;500;8.73
8_1;500;9.49
2_4;500;7.90
4_2;500;8.26
